Country;"Sub ID 2";"Sub ID 4";"Sub ID 5";"Offer ID";Offer;OS;Clicks;"UC (campaign)";Conv.;Sales;Revenue
Singapore;120246686815890106;1641083631350576;🇸🇬_SG_50_[WealthEastMoney];12240;"SG | Longfu88 | RegForm  (Slot) | CPA | 200 EUR | 10 EUR | daily | 50 | Android | ALL |  |  | KPI Yes | MbManada | Falcons";iOS;1;0;0;0;0
Singapore;120246686815870106;1641083631350576;🇸🇬_SG_50_[WealthEastMoney];12240;"SG | Longfu88 | RegForm  (Slot) | CPA | 200 EUR | 10 EUR | daily | 50 | Android | ALL |  |  | KPI Yes | MbManada | Falcons";Android;1;1;0;0;0
Singapore;120246686815710106;1641083631350576;🇸🇬_SG_50_[WealthEastMoney];12240;"SG | Longfu88 | RegForm  (Slot) | CPA | 200 EUR | 10 EUR | daily | 50 | Android | ALL |  |  | KPI Yes | MbManada | Falcons";Android;1;0;0;0;0
Singapore;120246686815700106;1641083631350576;🇸🇬_SG_50_[WealthEastMoney];12240;"SG | Longfu88 | RegForm  (Slot) | CPA | 200 EUR | 10 EUR | daily | 50 | Android | ALL |  |  | KPI Yes | MbManada | Falcons";iOS;1;1;0;0;0
Singapore;120246686815580106;1641083631350576;🇸🇬_SG_50_[WealthEastMoney];12240;"SG | Longfu88 | RegForm  (Slot) | CPA | 200 EUR | 10 EUR | daily | 50 | Android | ALL |  |  | KPI Yes | MbManada | Falcons";iOS;1;1;0;0;0
Singapore;120246686815530106;1641083631350576;🇸🇬_SG_50_[WealthEastMoney];12240;"SG | Longfu88 | RegForm  (Slot) | CPA | 200 EUR | 10 EUR | daily | 50 | Android | ALL |  |  | KPI Yes | MbManada | Falcons";Android;2;1;1;0;0
Singapore;120246686815060106;1641083631350576;🇸🇬_SG_50_[WealthEastMoney];12240;"SG | Longfu88 | RegForm  (Slot) | CPA | 200 EUR | 10 EUR | daily | 50 | Android | ALL |  |  | KPI Yes | MbManada | Falcons";iOS;2;1;0;0;0
Singapore;120246681556860106;1641083631350576;🇸🇬_SG_50_[WealthEastMoney];12240;"SG | Longfu88 | RegForm  (Slot) | CPA | 200 EUR | 10 EUR | daily | 50 | Android | ALL |  |  | KPI Yes | MbManada | Falcons";iOS;1;1;0;0;0
Singapore;120246681556790106;1641083631350576;🇸🇬_SG_50_[WealthEastMoney];12240;"SG | Longfu88 | RegForm  (Slot) | CPA | 200 EUR | 10 EUR | daily | 50 | Android | ALL |  |  | KPI Yes | MbManada | Falcons";iOS;4;2;0;0;0
Singapore;120246681556790106;1641083631350576;🇸🇬_SG_50_[WealthEastMoney];12240;"SG | Longfu88 | RegForm  (Slot) | CPA | 200 EUR | 10 EUR | daily | 50 | Android | ALL |  |  | KPI Yes | MbManada | Falcons";Android;1;1;0;0;0
Singapore;120246681556740106;1641083631350576;🇸🇬_SG_50_[WealthEastMoney];12240;"SG | Longfu88 | RegForm  (Slot) | CPA | 200 EUR | 10 EUR | daily | 50 | Android | ALL |  |  | KPI Yes | MbManada | Falcons";iOS;1;1;0;0;0
Singapore;120246681556710106;1641083631350576;🇸🇬_SG_50_[WealthEastMoney];12240;"SG | Longfu88 | RegForm  (Slot) | CPA | 200 EUR | 10 EUR | daily | 50 | Android | ALL |  |  | KPI Yes | MbManada | Falcons";Android;4;3;1;0;0
Singapore;120246681556690106;1641083631350576;🇸🇬_SG_50_[WealthEastMoney];12240;"SG | Longfu88 | RegForm  (Slot) | CPA | 200 EUR | 10 EUR | daily | 50 | Android | ALL |  |  | KPI Yes | MbManada | Falcons";iOS;3;2;0;0;0
Singapore;120246681556690106;1641083631350576;🇸🇬_SG_50_[WealthEastMoney];12240;"SG | Longfu88 | RegForm  (Slot) | CPA | 200 EUR | 10 EUR | daily | 50 | Android | ALL |  |  | KPI Yes | MbManada | Falcons";Android;11;0;0;0;0
Singapore;120246681556680106;1641083631350576;🇸🇬_SG_50_[WealthEastMoney];12240;"SG | Longfu88 | RegForm  (Slot) | CPA | 200 EUR | 10 EUR | daily | 50 | Android | ALL |  |  | KPI Yes | MbManada | Falcons";iOS;2;0;0;0;0
Singapore;120246681556680106;1641083631350576;🇸🇬_SG_50_[WealthEastMoney];12238;"SG | Longfu88 | RegForm  (Slot) | CPA | 170 EUR | 10 EUR | total | 80 | Android | ALL |  |  | KPI Yes | MbManada | Falcons | MbFlex";Android;3;1;0;0;0
Singapore;120246681556670106;1641083631350576;🇸🇬_SG_50_[WealthEastMoney];12240;"SG | Longfu88 | RegForm  (Slot) | CPA | 200 EUR | 10 EUR | daily | 50 | Android | ALL |  |  | KPI Yes | MbManada | Falcons";Android;10;2;1;0;0
Singapore;120246681556650106;1641083631350576;🇸🇬_SG_50_[WealthEastMoney];12240;"SG | Longfu88 | RegForm  (Slot) | CPA | 200 EUR | 10 EUR | daily | 50 | Android | ALL |  |  | KPI Yes | MbManada | Falcons";Android;18;2;1;0;0
Singapore;120246681556620106;1641083631350576;🇸🇬_SG_50_[WealthEastMoney];12240;"SG | Longfu88 | RegForm  (Slot) | CPA | 200 EUR | 10 EUR | daily | 50 | Android | ALL |  |  | KPI Yes | MbManada | Falcons";iOS;1;1;1;0;0
Singapore;120246681556620106;1641083631350576;🇸🇬_SG_50_[WealthEastMoney];12240;"SG | Longfu88 | RegForm  (Slot) | CPA | 200 EUR | 10 EUR | daily | 50 | Android | ALL |  |  | KPI Yes | MbManada | Falcons";Android;5;2;0;0;0
Singapore;120246681556550106;1641083631350576;🇸🇬_SG_50_[WealthEastMoney];12240;"SG | Longfu88 | RegForm  (Slot) | CPA | 200 EUR | 10 EUR | daily | 50 | Android | ALL |  |  | KPI Yes | MbManada | Falcons";iOS;1;1;0;0;0
Singapore;120246681556530106;1641083631350576;🇸🇬_SG_50_[WealthEastMoney];12240;"SG | Longfu88 | RegForm  (Slot) | CPA | 200 EUR | 10 EUR | daily | 50 | Android | ALL |  |  | KPI Yes | MbManada | Falcons";iOS;1;1;1;0;0
Singapore;120246681556160106;1641083631350576;🇸🇬_SG_50_[WealthEastMoney];12240;"SG | Longfu88 | RegForm  (Slot) | CPA | 200 EUR | 10 EUR | daily | 50 | Android | ALL |  |  | KPI Yes | MbManada | Falcons";iOS;3;3;2;0;0
Singapore;120246681543880106;1641083631350576;🇸🇬_SG_50_[WealthEastMoney];12240;"SG | Longfu88 | RegForm  (Slot) | CPA | 200 EUR | 10 EUR | daily | 50 | Android | ALL |  |  | KPI Yes | MbManada | Falcons";Android;2;0;0;0;0
Singapore;120246672489210106;1641083631350576;🇸🇬_SG_50_[WealthEastMoney];12240;"SG | Longfu88 | RegForm  (Slot) | CPA | 200 EUR | 10 EUR | daily | 50 | Android | ALL |  |  | KPI Yes | MbManada | Falcons";Android;9;0;0;0;0
Singapore;120245157779310753;2315763045582193;🇸🇬_SG_50_[WealthEastMoney];12240;"SG | Longfu88 | RegForm  (Slot) | CPA | 200 EUR | 10 EUR | daily | 50 | Android | ALL |  |  | KPI Yes | MbManada | Falcons";Android;1;0;0;0;0
Singapore;120244875159890694;1328022375863187;🇸🇬_SG_50_[WealthEastMoney];12238;"SG | Longfu88 | RegForm  (Slot) | CPA | 170 EUR | 10 EUR | total | 80 | Android | ALL |  |  | KPI Yes | MbManada | Falcons | MbFlex";Android;2;0;0;0;0
Singapore;120244787309560753;2315763045582193;"🇸🇬 SG_38 [WealthEast]";12240;"SG | Longfu88 | RegForm  (Slot) | CPA | 200 EUR | 10 EUR | daily | 50 | Android | ALL |  |  | KPI Yes | MbManada | Falcons";Android;1;1;0;0;0
Singapore;120242913589790485;1545494207005501;🇸🇬_SG_51_[WealthEastMoney];12240;"SG | Longfu88 | RegForm  (Slot) | CPA | 200 EUR | 10 EUR | daily | 50 | Android | ALL |  |  | KPI Yes | MbManada | Falcons";Android;1;0;0;0;0
Singapore;120240409719730359;1271689361274945;"SG_1 [Olympus]";12240;"SG | Longfu88 | RegForm  (Slot) | CPA | 200 EUR | 10 EUR | daily | 50 | Android | ALL |  |  | KPI Yes | MbManada | Falcons";Android;1;0;0;0;0
Singapore;120238161256350687;4118817255055494;"🇸🇬 SG_1 [Olympus] [https://singa-app-olymp.website]";12240;"SG | Longfu88 | RegForm  (Slot) | CPA | 200 EUR | 10 EUR | daily | 50 | Android | ALL |  |  | KPI Yes | MbManada | Falcons";Android;13;0;0;0;0
;;;;;;;216;51;15;6;1372.8
