Country;"Sub ID 2";"Sub ID 4";"Sub ID 5";#;Clicks;"UC (campaign)";Conv.;"ROI (confirmed)"
India;120246244675830106;1641083631350576;"🇮🇳 IN_93 [FortuneGems]";0;4;4;0;0
India;120246260465330106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;2;2;0;0
India;120246260465340106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;5;5;0;0
India;120246260465350106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;2;2;0;0
India;120246260465720106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;4;4;0;0
India;120246260465740106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;2;2;0;0
India;120246260465750106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;5;5;0;0
India;120246260465760106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;2;2;0;0
India;120246260465790106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;2;2;0;0
India;120246260465810106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;2;2;0;0
India;120246260465820106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;2;2;0;0
India;120246260465870106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;1;1;0;0
India;120246260465890106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;2;1;0;0
India;120246260465990106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;5;5;0;0
India;120246260466060106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;5;5;0;0
India;120246260466070106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;2;2;0;0
India;120246276712280106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;6;6;0;0
India;120246276847160106;1641083631350576;"🇮🇳 IN_94 [FortuneGems]";0;3;3;0;0
India;120246276847170106;1641083631350576;"🇮🇳 IN_94 [FortuneGems]";0;5;5;0;0
India;120246276847220106;1641083631350576;"🇮🇳 IN_94 [FortuneGems]";0;2;2;0;0
India;120246276847310106;1641083631350576;"🇮🇳 IN_94 [FortuneGems]";0;3;3;0;0
India;120246276847390106;1641083631350576;"🇮🇳 IN_94 [FortuneGems]";0;3;3;0;0
India;120246276847410106;1641083631350576;"🇮🇳 IN_94 [FortuneGems]";0;3;3;0;0
India;120246276847420106;1641083631350576;"🇮🇳 IN_94 [FortuneGems]";0;3;3;0;0
India;120246277024990106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;12;11;0;0
India;120246277035760106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;10;9;0;0
India;120246277035770106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;6;6;0;0
India;120246277035780106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;3;3;0;0
India;120246277036060106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;3;3;0;0
India;120246277036070106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;6;5;0;0
India;120246277036100106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;8;8;0;0
India;120246277036140106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;5;5;0;0
India;120246277036150106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;2;2;0;0
India;120246277036160106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;4;4;0;0
India;120246277036170106;1641083631350576;"🇮🇳 IN_92 [FortuneGems]";0;5;4;0;0
