Country,"Account ID","Campaign ID","Ad name",Currency,"Amount spent (USD)",Leads,"Cost per lead","Registrations completed","Cost per registration completed","CTR (all)","CPM (cost per 1,000 impressions)",Reach,Impressions,Frequency,"Reporting starts","Reporting ends"
IN,1641083631350576,120246363398820106,"🇮🇳 IN_94 [FortuneGems]",USD,2.13,2,1.065,1,2.13,1.17647059,8.35294118,250,255,1.02,2026-07-01,2026-07-17
IN,1641083631350576,120246363398090106,"🇮🇳 IN_94 [FortuneGems]",USD,2.58,1,2.58,1,2.58,1.6064257,10.36144578,243,249,1.02469136,2026-07-01,2026-07-17
IN,1641083631350576,120246363398100106,"🇮🇳 IN_94 [FortuneGems]",USD,3.46,1,3.46,,,0.39840637,13.78486056,247,251,1.01619433,2026-07-01,2026-07-17
IN,1641083631350576,120246365946530106,"🇮🇳 IN_92 [FortuneGems]",USD,1.93,1,1.93,1,1.93,5.17241379,11.09195402,171,174,1.01754386,2026-07-01,2026-07-17
IN,1641083631350576,120246365993880106,"🇮🇳 IN_92 [FortuneGems]",USD,1.92,,,,,0,14.22222222,135,135,1,2026-07-01,2026-07-17
IN,1641083631350576,120246365993900106,"🇮🇳 IN_92 [FortuneGems]",USD,2.22,2,1.11,2,1.11,3.07692308,17.07692308,125,130,1.04,2026-07-01,2026-07-17
IN,1641083631350576,120246365993860106,"🇮🇳 IN_92 [FortuneGems]",USD,1.82,2,0.91,,,2.40384615,8.75,203,208,1.02463054,2026-07-01,2026-07-17
IN,1641083631350576,120246365993890106,"🇮🇳 IN_92 [FortuneGems]",USD,1.79,5,0.358,3,0.59666667,2.24215247,8.02690583,218,223,1.02293578,2026-07-01,2026-07-17
IN,1641083631350576,120246365993490106,"🇮🇳 IN_92 [FortuneGems]",USD,2.27,,,,,1.48148148,16.81481481,133,135,1.01503759,2026-07-01,2026-07-17
IN,1641083631350576,120246365993810106,"🇮🇳 IN_92 [FortuneGems]",USD,2.46,2,1.23,2,1.23,1.61290323,13.22580645,184,186,1.01086957,2026-07-01,2026-07-17
IN,1641083631350576,120246365993820106,"🇮🇳 IN_92 [FortuneGems]",USD,2.89,2,1.445,1,2.89,1.34228188,19.39597315,148,149,1.00675676,2026-07-01,2026-07-17
IN,1641083631350576,120246365993870106,"🇮🇳 IN_92 [FortuneGems]",USD,2.29,1,2.29,,,1.53846154,17.61538462,128,130,1.015625,2026-07-01,2026-07-17
