Country,"Account ID","Campaign ID","Ad name",Currency,"Amount spent (USD)",Leads,"Cost per lead","Registrations completed","Cost per registration completed","CTR (all)","CPM (cost per 1,000 impressions)",Reach,Impressions,Frequency,"Reporting starts","Reporting ends"
IN,1641083631350576,120246311284590106,"🇮🇳 IN_94 [FortuneGems]",USD,1.59,,,,,1.38888889,11.04166667,144,144,1,2026-07-01,2026-07-16
IN,1641083631350576,120246311284600106,"🇮🇳 IN_94 [FortuneGems]",USD,1.93,,,,,0,13.78571429,140,140,1,2026-07-01,2026-07-16
IN,1641083631350576,120246311284630106,"🇮🇳 IN_94 [FortuneGems]",USD,2.18,1,2.18,,,0.90634441,6.58610272,330,331,1.0030303,2026-07-01,2026-07-16
IN,1641083631350576,120246311284760106,"🇮🇳 IN_95 [FortuneGems]",USD,2.79,3,0.93,1,2.79,1.32743363,12.34513274,225,226,1.00444444,2026-07-01,2026-07-16
IN,1641083631350576,120246311284740106,"🇮🇳 IN_95 [FortuneGems]",USD,4.46,2,2.23,,,1.5060241,13.43373494,323,332,1.02786378,2026-07-01,2026-07-16
IN,1641083631350576,120246311284970106,"🇮🇳 IN_95 [FortuneGems]",USD,0.7,,,,,0,6.7961165,102,103,1.00980392,2026-07-01,2026-07-16
IN,1641083631350576,120246311284990106,"🇮🇳 IN_95 [FortuneGems]",USD,2.36,1,2.36,,,0.37878788,8.93939394,260,264,1.01538462,2026-07-01,2026-07-16
IN,1641083631350576,120246311284590106,"🇮🇳 IN_95 [FortuneGems]",USD,1.07,,,,,0,18.13559322,58,59,1.01724138,2026-07-01,2026-07-16
IN,1641083631350576,120246311284780106,"🇮🇳 IN_92 [FortuneGems]",USD,0.01,,,,,0,5,2,2,1,2026-07-01,2026-07-16
IN,1641083631350576,120246311284760106,"🇮🇳 IN_92 [FortuneGems]",USD,0.73,,,,,0,14.03846154,50,52,1.04,2026-07-01,2026-07-16
IN,1641083631350576,120246311284790106,"🇮🇳 IN_92 [FortuneGems]",USD,0.27,,,,,0,19.28571429,14,14,1,2026-07-01,2026-07-16
IN,1641083631350576,120246363324460106,"🇮🇳 IN_94 [FortuneGems]",USD,1.75,1,1.75,1,1.75,0.42372881,7.41525424,233,236,1.01287554,2026-07-01,2026-07-16
IN,1641083631350576,120246363369440106,"🇮🇳 IN_92 [FortuneGems]",USD,2.54,,,,,0.46948357,11.92488263,207,213,1.02898551,2026-07-01,2026-07-16
IN,1641083631350576,120246363398780106,"🇮🇳 IN_92 [FortuneGems]",USD,2.45,1,2.45,1,2.45,2.51572327,15.40880503,157,159,1.01273885,2026-07-01,2026-07-16
IN,1641083631350576,120246363398610106,"🇮🇳 IN_92 [FortuneGems]",USD,0.54,2,0.27,2,0.27,5.40540541,14.59459459,37,37,1,2026-07-01,2026-07-16
